Region,NewCases
Москва,2913
Московская область,892
Санкт-Петербург,408
Красноярский край,376
Нижегородская область,204
Свердловская область,174
Ростовская область,142
Ярославская область,133
Калужская область,121
Брянская область,117
Республика Дагестан,103
Рязанская область,96
Краснодарский край,91
Тульская область,89
Республика Башкортостан,89
Тамбовская область,84
Челябинская область,84
Пензенская область,83
Волгоградская область,82
Курская область,81
Чувашская Республика,78
Новосибирская область,76
Самарская область,74
Республика Северная Осетия,73
Белгородская область,71
Республика Татарстан,71
Ульяновская область,70
Ставропольский край,69
Кабардино-Балкарская Республика,68
Мурманская область,67
Саратовская область,67
Ямало-Ненецкий АО,64
Хабаровский край,64
Липецкая область,62
Смоленская область,61
Ленинградская область,61
Ханты-Мансийский АО,59
Владимирская область,57
Алтайский край,57
Ивановская область,55
Орловская область,49
Приморский край,49
Астраханская область,48
Пермский край,48
Омская область,47
Оренбургская область,45
Республика Тыва,44
Республика Ингушетия,43
Воронежская область,41
Архангельская область,41
Тверская область,39
Республика Марий Эл,38
Республика Саха (Якутия),37
Республика Адыгея,36
Республика Мордовия,35
Калининградская область,34
Иркутская область,34
Псковская область,33
Новгородская область,32
Республика Калмыкия,32
Забайкальский край,31
Республика Хакасия,29
Кировская область,27
Республика Бурятия,27
Вологодская область,26
Кемеровская область,23
Чеченская Республика,21
Томская область,20
Республика Карелия,19
Камчатский край,18
Курганская область,17
Амурская область,17
Еврейская АО,15
Республика Коми,13
Карачаево-Черкесская Республика,12
Костромская область,11
Тюменская область,11
Республика Алтай,6
Удмуртская Республика,5
Магаданская область,5
Сахалинская область,2
Ненецкий АО,1
Республика Крым,1
Севастополь,1
