RegionEn,RegionRu
Belgorod Oblast,Белгородская область
Bryansk Oblast,Брянская область
Ivanovo Oblast,Ивановская область
Kaluga Oblast,Калужская область
Kostroma Oblast,Костромская область
Kursk Oblast,Курская область
Lipetsk Oblast,Липецкая область
Moscow Oblast,Московская область
Oryol Oblast,Орловская область
Ryazan Oblast,Рязанская область
Smolensk Oblast,Смоленская область
Tambov Oblast,Тамбовская область
Tula Oblast,Тульская область
Tver Oblast,Тверская область
Vladimir Oblast,Владимирская область
Voronezh Oblast,Воронежская область
Yaroslavl Oblast,Ярославская область
Moscow,Москва
Republic of Karelia,Республика Карелия
Komi Republic,Республика Коми
Arkhangelsk Oblast,Архангельская область
Kaliningrad Oblast,Калининградская область
Leningrad Oblast,Ленинградская область
Murmansk Oblast,Мурманская область
Novgorod Oblast,Новгородская область
Pskov Oblast,Псковская область
Vologda Oblast,Вологодская область
Saint Petersburg,Санкт-Петербург
Nenets AO,Ненецкий АО
Adygea,Республика Адыгея
Republic of Crimea,Республика Крым
Kalmykia,Республика Калмыкия
Krasnodar Krai,Краснодарский край
Astrakhan Oblast,Астраханская область
Rostov Oblast,Ростовская область
Volgograd Oblast,Волгоградская область
Sevastopol,Севастополь
Chechnya,Чеченская Республика
Dagestan,Республика Дагестан
Ingushetia,Республика Ингушетия
Kabardino-Balkaria,Кабардино-Балкарская Республика
Karachay-Cherkessia,Карачаево-Черкесская Республика
North Ossetia,Республика Северная Осетия
Stavropol Krai,Ставропольский край
Bashkortostan,Республика Башкортостан
Chuvashia,Чувашская Республика
Mari El,Республика Марий Эл
Mordovia,Республика Мордовия
Tatarstan,Республика Татарстан
Udmurtia,Удмуртская Республика
Perm Krai,Пермский край
Kirov Oblast,Кировская область
Nizhny Novgorod Oblast,Нижегородская область
Orenburg Oblast,Оренбургская область
Penza Oblast,Пензенская область
Samara Oblast,Самарская область
Saratov Oblast,Саратовская область
Ulyanovsk Oblast,Ульяновская область
Chelyabinsk Oblast,Челябинская область
Kurgan Oblast,Курганская область
Sverdlovsk Oblast,Свердловская область
Tyumen Oblast,Тюменская область
Khanty-Mansi AO,Ханты-Мансийский АО
Yamalo-Nenets AO,Ямало-Ненецкий АО
Altai Republic,Республика Алтай
Khakassia,Республика Хакасия
Tuva,Республика Тыва
Altai Krai,Алтайский край
Krasnoyarsk Krai,Красноярский край
Irkutsk Oblast,Иркутская область
Kemerovo Oblast,Кемеровская область
Novosibirsk Oblast,Новосибирская область
Omsk Oblast,Омская область
Tomsk Oblast,Томская область
Buryatia,Республика Бурятия
Yakutia,Республика Саха (Якутия)
Kamchatka Krai,Камчатский край
Khabarovsk Krai,Хабаровский край
Primorsky Krai,Приморский край
Zabaykalsky Krai,Забайкальский край
Amur Oblast,Амурская область
Magadan Oblast,Магаданская область
Sakhalin Oblast,Сахалинская область
Chukotka AO,Чукотский АО
Jewish AO,Еврейская АО
