RegionEn,RegionRu
Altai Krai,Алтайский край
Amur Oblast,Амурская область
Arkhangelsk Oblast,Архангельская область
Astrakhan Oblast,Астраханская область
Belgorod Oblast,Белгородская область
Bryansk Oblast,Брянская область
Vladimir Oblast,Владимирская область
Volgograd Oblast,Волгоградская область
Vologda Oblast,Вологодская область
Voronezh Oblast,Воронежская область
Jewish AO,Еврейская автономная область
Zabaykalsky Krai,Забайкальский край
Ivanovo Oblast,Ивановская область
Irkutsk Oblast,Иркутская область
Kabardino-Balkaria,Кабардино-Балкарская Республика
Kaliningrad Oblast,Калининградская область
Kaluga Oblast,Калужская область
Kamchatka Krai,Камчатский край
Karachay-Cherkessia,Карачаево-Черкесская Республика
Kemerovo Oblast,Кемеровская область
Kirov Oblast,Кировская область
Kostroma Oblast,Костромская область
Krasnodar Krai,Краснодарский край
Krasnoyarsk Krai,Красноярский край
Kurgan Oblast,Курганская область
Kursk Oblast,Курская область
Leningrad Oblast,Ленинградская область
Lipetsk Oblast,Липецкая область
Magadan Oblast,Магаданская область
Moscow,Москва
Moscow Oblast,Московская область
Murmansk Oblast,Мурманская область
Nenets AO,Ненецкий автономный округ
Nizhny Novgorod Oblast,Нижегородская область
Novgorod Oblast,Новгородская область
Novosibirsk Oblast,Новосибирская область
Omsk Oblast,Омская область
Orenburg Oblast,Оренбургская область
Oryol Oblast,Орловская область
Penza Oblast,Пензенская область
Perm Krai,Пермский край
Primorsky Krai,Приморский край
Pskov Oblast,Псковская область
Adygea,Республика Адыгея
Altai Republic,Республика Алтай
Bashkortostan,Республика Башкортостан
Buryatia,Республика Бурятия
Dagestan,Республика Дагестан
Ingushetia,Республика Ингушетия
Kalmykia,Республика Калмыкия
Republic of Karelia,Республика Карелия
Komi Republic,Республика Коми
Republic of Crimea,Республика Крым
Mari El,Республика Марий Эл
Mordovia,Республика Мордовия
Yakutia,Республика Саха (Якутия)
North Ossetia,Республика Северная Осетия — Алания
Tatarstan,Республика Татарстан
Tuva,Республика Тыва
Khakassia,Республика Хакасия
Chuvashia,Республика Чувашия
Rostov Oblast,Ростовская область
Ryazan Oblast,Рязанская область
Samara Oblast,Самарская область
Saint Petersburg,Санкт-Петербург
Saratov Oblast,Саратовская область
Sakhalin Oblast,Сахалинская область
Sverdlovsk Oblast,Свердловская область
Sevastopol,Севастополь
Smolensk Oblast,Смоленская область
Stavropol Krai,Ставропольский край
Tambov Oblast,Тамбовская область
Tver Oblast,Тверская область
Tomsk Oblast,Томская область
Tula Oblast,Тульская область
Tyumen Oblast,Тюменская область
Udmurtia,Удмуртская Республика
Ulyanovsk Oblast,Ульяновская область
Khabarovsk Krai,Хабаровский край
Khanty-Mansi AO,Ханты-Мансийский АО
Chelyabinsk Oblast,Челябинская область
Chechnya,Чеченская Республика
Chukotka AO,Чукотский автономный округ
Yamalo-Nenets AO,Ямало-Ненецкий автономный округ
Yaroslavl Oblast,Ярославская область
