LocationName,Confirmed,New,Recovered,Deaths
Москва,197018,2001,104347,2970
Московская область,44983,751,12031,578
Санкт-Петербург,18835,326,7915,392
Нижегородская область,12442,305,4878,140
Свердловская область,7668,249,3273,43
Ростовская область,6355,189,2343,48
Республика Дагестан,5970,112,4587,308
Красноярский край,5460,159,1570,49
Тульская область,4734,114,2441,49
Калужская область,4600,89,2119,36
Краснодарский край,4485,86,3311,44
Брянская область,4458,94,3021,31
Рязанская область,4088,75,1458,10
Волгоградская область,4030,117,1428,23
Республика Башкортостан,4017,89,1453,18
Саратовская область,3900,137,1573,37
Челябинская область,3737,123,1801,31
Ярославская область,3714,68,1180,15
Новосибирская область,3648,102,1386,42
Республика Татарстан,3611,53,3543,10
Мурманская область,3576,46,2480,7
Республика Чувашия,3561,86,1727,16
Курская область,3561,60,1803,16
Тамбовская область,3504,65,1534,8
Ханты-Мансийский АО,3475,129,1186,21
Кабардино-Балкарская Республика,3424,76,1649,33
Республика Северная Осетия — Алания,3324,41,3100,57
Ульяновская область,3265,97,954,16
Ленинградская область,3238,50,2221,18
Самарская область,3200,86,1449,29
Ставропольский край,3167,88,1471,62
Смоленская область,3157,122,1105,43
Владимирская область,3151,62,1225,30
Воронежская область,3065,228,1699,16
Пензенская область,3053,110,2433,26
Архангельская область,2989,121,858,10
Орловская область,2967,97,1474,32
Белгородская область,2913,73,1356,27
Иркутская область,2877,85,725,16
Ивановская область,2822,117,1091,22
Ямало-Ненецкий автономный округ,2777,83,1475,11
Липецкая область,2637,60,1018,8
Республика Саха (Якутия),2611,80,1343,15
Хабаровский край,2596,59,1314,17
Приморский край,2442,67,1464,23
Оренбургская область,2397,66,1642,8
Алтайский край,2390,71,1107,14
Республика Ингушетия,2368,26,1508,61
Астраханская область,2337,44,1294,22
Кировская область,2260,78,1206,20
Республика Мордовия,2230,45,1155,18
Пермский край,2202,67,1394,28
Тверская область,2147,92,1429,41
Республика Марий Эл,2104,43,1727,16
Тюменская область,1947,39,1067,12
Республика Бурятия,1833,48,1067,11
Калининградская область,1813,37,782,24
Омская область,1776,58,689,18
Республика Тыва,1738,131,273,2
Новгородская область,1734,58,438,10
Карачаево-Черкесская Республика,1654,74,453,9
Республика Коми,1600,36,890,26
Забайкальский край,1551,80,862,29
Чеченская Республика,1365,20,993,15
Псковская область,1269,37,440,12
Республика Калмыкия,1179,11,631,16
Камчатский край,1168,43,310,10
Республика Хакасия,1141,13,782,10
Вологодская область,1111,27,542,11
Республика Адыгея,1069,44,606,10
Томская область,971,49,474,11
Удмуртская Республика,963,27,467,12
Костромская область,926,25,489,12
Кемеровская область,752,31,322,7
Амурская область,748,46,252,5
Республика Карелия,633,19,226,2
Республика Крым,438,14,317,5
Еврейская автономная область,347,4,250,4
Магаданская область,339,12,211,3
Курганская область,306,18,183,0
Сахалинская область,204,16,71,0
Республика Алтай,180,8,101,0
Севастополь,177,1,145,3
Чукотский автономный округ,106,0,65,1
Ненецкий автономный округ,80,0,16,0
