LocationName,Confirmed,Recovered,Deaths
Алтайский край,6983,0,0
Амурская область,2314,0,0
Архангельская область,7608,0,0
Астраханская область,4086,0,0
Белгородская область,5360,0,0
Брянская область,6978,0,0
Владимирская область,5133,0,0
Волгоградская область,7879,0,0
Вологодская область,2032,0,0
Воронежская область,9852,0,0
Еврейская автономная область,499,0,0
Забайкальский край,3835,0,0
Ивановская область,5813,0,0
Иркутская область,11074,0,0
Кабардино-Балкарская Республика,5751,0,0
Калининградская область,2676,0,0
Калужская область,6818,0,0
Камчатский край,2910,0,0
Карачаево-Черкесская Республика,4162,0,0
Кемеровская область,2650,0,0
Кировская область,4046,0,0
Костромская область,1922,0,0
Краснодарский край,7045,0,0
Красноярский край,11149,0,0
Курганская область,1653,0,0
Курская область,5799,0,0
Ленинградская область,5269,0,0
Липецкая область,4349,0,0
Магаданская область,1120,0,0
Москва,232376,0,0
Московская область,61399,0,0
Мурманская область,7943,0,0
Ненецкий автономный округ,256,0,0
Нижегородская область,21200,0,0
Новгородская область,3489,0,0
Новосибирская область,7845,0,0
Омская область,5172,0,0
Оренбургская область,5352,0,0
Орловская область,5240,0,0
Пензенская область,5919,0,0
Пермский край,4803,0,0
Приморский край,5380,0,0
Псковская область,3354,0,0
Республика Адыгея,2326,0,0
Республика Алтай,1197,0,0
Республика Башкортостан,6194,0,0
Республика Бурятия,3566,0,0
Республика Дагестан,8691,0,0
Республика Ингушетия,3393,0,0
Республика Калмыкия,2315,0,0
Республика Карелия,1852,0,0
Республика Коми,4542,0,0
Республика Крым,917,0,0
Республика Марий Эл,3436,0,0
Республика Мордовия,4014,0,0
Республика Саха (Якутия),5089,0,0
Республика Северная Осетия — Алания,4320,0,0
Республика Татарстан,5157,0,0
Республика Тыва,5614,0,0
Республика Хакасия,2520,0,0
Республика Чувашия,6110,0,0
Ростовская область,11214,0,0
Рязанская область,5843,0,0
Самарская область,6197,0,0
Санкт-Петербург,28906,0,0
Саратовская область,8063,0,0
Сахалинская область,1687,0,0
Свердловская область,17285,0,0
Севастополь,285,0,0
Смоленская область,5306,0,0
Ставропольский край,6625,0,0
Тамбовская область,5443,0,0
Тверская область,4211,0,0
Томская область,3314,0,0
Тульская область,7796,0,0
Тюменская область,4451,0,0
Удмуртская Республика,1966,0,0
Ульяновская область,7596,0,0
Хабаровский край,5873,0,0
Ханты-Мансийский АО,13494,0,0
Челябинская область,9420,0,0
Чеченская Республика,1895,0,0
Чукотский автономный округ,146,0,0
Ямало-Ненецкий автономный округ,8965,0,0
Ярославская область,5476,0,0
